Covered Entity Name,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
Greater Pittsburgh Orthopaedics Associates,PA,Healthcare Provider,35000,2025-08-27,Hacking/IT Incident,Desktop Computer,No,
College Hometown Pharmacy,NY,Healthcare Provider,9742,2025-08-25,Hacking/IT Incident,Network Server,No,
College Parkside Pharmacy,NY,Healthcare Provider,5736,2025-08-25,Hacking/IT Incident,Network Server,No,
"Assisted Living Pharmacy Service, LLC",WI,Healthcare Provider,5590,2025-08-25,Hacking/IT Incident,Network Server,No,
Prime Therapeutics LLC,MN,Business Associate,2266,2025-08-25,Unauthorized Access/Disclosure,Laptop,Yes,
"Pacific Imaging Management, LLC",CA,Healthcare Provider,13158,2025-08-25,Hacking/IT Incident,Email,No,
zizzl llc,WI,Business Associate,2416,2025-08-22,Hacking/IT Incident,Email,Yes,
Beech Acres Parenting Center ,OH,Healthcare Provider,19315,2025-08-22,Hacking/IT Incident,Network Server,No,
"Department of Social Services for Vance County, North Carolina",NC,Business Associate,501,2025-08-22,Hacking/IT Incident,Network Server,Yes,
"Independent Health Association, Inc.",NY,Health Plan,637,2025-08-22,Unauthorized Access/Disclosure,Other,No,
McEwen & Associates,TX,Business Associate,500,2025-08-21,Hacking/IT Incident,Network Server,Yes,
McEwen & Associates,TX,Business Associate,500,2025-08-21,Hacking/IT Incident,Network Server,Yes,
McEwen & Associates,TX,Business Associate,500,2025-08-21,Hacking/IT Incident,Network Server,Yes,
"Vital Imaging Medical Diagnostic Centers, LLC",FL,Healthcare Provider,260000,2025-08-21,Hacking/IT Incident,Network Server,No,
"Preferred Hospital Leasing Hemphill Inc., d/b/a Sabine County Hospital",TX,Healthcare Provider,7600,2025-08-21,Hacking/IT Incident,Email,No,
Arkansas Primary Care Clinic,AR,Healthcare Provider,2491,2025-08-20,Hacking/IT Incident,Network Server,No,
Revere Health PC,UT,Healthcare Provider,605,2025-08-19,Hacking/IT Incident,Desktop Computer,No,
"CareTracker, Inc.",NY,Business Associate,501,2025-08-18,Hacking/IT Incident,Network Server,Yes,
Bevel Health Medical Group,PA,Healthcare Provider,510,2025-08-18,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Pediatric Otolaryngology Head & Neck Surgery Associates, P.A.",FL,Healthcare Provider,43446,2025-08-18,Hacking/IT Incident,Network Server,No,
CPAP Medical Supplies and Services Inc. ,FL,Healthcare Provider,90133,2025-08-15,Hacking/IT Incident,Network Server,No,
